case_id,title,organization,market,url,source_type,target_audience,packaging_pattern,product_family,status,first_seen,last_checked,notes
TW-001,給超級主管的 AI 管理課,天下學習,台灣,https://www.cwlearning.com.tw/programs/41535fbe-b731-449c-b9e9-4d529e4470c8,線上課程,主管,身分升級,企業／主管戰情室,鎖定A級,2026-06-21,2026-06-21,從工具使用者升級為管理AI團隊的主管
TW-002,聊著聊著 AI 就做完了,MasterTalks,台灣,https://mastertalks.tw/products/ai-product,線上課程,非技術工作者,明確成品與可複製流程,個人 AI 工作台,鎖定A級,2026-06-21,2026-06-21,作品上線加SDD流程與模板
TW-003,AI 出書實戰班,閱讀塗鴉實驗室,台灣,https://read-draw.com/event/detail/5,工作坊加陪跑,專業工作者,高價值成果加專家審查,獨立參考,鎖定A級,2026-06-21,2026-06-21,一日打底六週精修與總編審查
TW-004,Gemini 全能宇宙講師班,閱讀塗鴉實驗室,台灣,https://read-draw.com/event/detail/3,實體工作坊,職業講師與老師,單一族群三痛點三成品,獨立參考,鎖定A級,2026-06-21,2026-06-21,講師定位不直接套用但包裝骨架可借鑑
TW-005,"AI代理人高階主管課程：Agentic Workflow組織變革策略與流程改造策略",中國生產力中心,台灣,https://store.cpc.org.tw/Train/Contents/TC9092,實體課程,CEO與數位轉型主管,身分升級加策略藍圖與ROI,企業／主管戰情室,A級42分,2026-06-21,2026-06-21,"官方頁顯示2026-07-10、6小時；可借整備度、KPI、流程與ROI，成品驗收仍需補強"
TW-006,AI Agent流程自動化實作,工研院產業學習網,台灣,https://college.itri.org.tw/Lesson/LessonData/80162E7B-7283-462E-BCCF-E731B21569A4,實體課程,數位轉型與技術主管,明確場景加完整Agent成品,個人 AI 工作台,B級39分,2026-06-21,2026-06-21,"2025梯次已截止；可借Agent、知識、工具、Workflow與治理串接"
TW-007,生成式 AI 與 Agent 開發及落地應用,Build School Learn,台灣,https://learn.build-school.com/courses/ai-agent-bootcamp-enterprise/,線上課程,企業主管與技術團隊,企業落地加Demo與Lab,個人 AI 工作台,B級36分,2026-06-21,2026-06-21,"頁面更新至2026-03-27但同步班期仍為2025，最新班期待確認"
TW-008,AI 商業數據與工作應用實戰：分析、報表與決策支援,中國生產力中心,台灣,https://edu.cpc.org.tw/class/content/1417,實體課程,業務管理與數位轉型人員,工作任務清單加案例實作,個人 AI 工作台,B級38分,2026-06-21,2026-06-21,"頁面梯次為2025；可借資料到報表到決策路徑，但主軸過廣"
TW-009,數據分析與自動化實務：EXCEL戰情室自動化實戰進階班,KiTS迦碩,台灣,https://sites.google.com/kits.com.tw/kits/%E7%B6%93%E6%BF%9F%E9%83%A8%E6%95%B8%E4%BD%8D%E8%BD%89%E5%9E%8B%E8%A3%9C%E5%8A%A9/%E8%AA%B2%E7%A8%8B%E7%B8%BD%E8%A6%BD/%E6%95%B8%E6%93%9A%E5%88%86%E6%9E%90%E8%88%87%E8%87%AA%E5%8B%95%E5%8C%96%E5%AF%A6%E5%8B%99excel%E6%88%B0%E6%83%85%E5%AE%A4%E8%87%AA%E5%8B%95%E5%8C%96%E5%AF%A6%E6%88%B0%E9%80%B2%E9%9A%8E%E7%8F%AD,課程頁,Excel使用者,工具組合加戰情室意象,企業／主管戰情室,C級32分,2026-06-21,2026-06-21,"官方頁未明列日期與時數；實質偏Excel儀表板，缺決策與行動追蹤"
INT-001,AI-Powered Productivity for Professionals,Rotman School of Management,加拿大,https://www.rotman.utoronto.ca/programs/professional-development-programs/executive-programs/programs-for-individuals/ai-powered-productivity-for-professionals/,一日工作坊,Managers directors executives,身分升級加可見實作與風險校準,個人 AI 工作台,A級44分,2026-06-21,2026-06-21,"官方頁日期TBD；最接近工作流、實作與human-in-loop"
INT-002,Executive AI Workshop,Improving,國際,https://www.improving.com/hire-developers/ai-executive-workshop/,企業私班,CxO executives directors,四大主管障礙到AI路線圖,企業／主管戰情室,A級42分,2026-06-21,2026-06-21,"一日私班；可借策略、ROI、風險、路線圖，但缺明確訊號與追蹤介面"
INT-003,AI Productivity Masterclass,Inventium,澳洲,https://www.inventium.ai/learninperson,一日工作坊,一般專業工作者,反理論課加日常工作流,個人 AI 工作台,B級41分,2026-06-21,2026-06-21,"帶真實耗時工作進場很強，但缺統一成品與驗收規格"
INT-004,Personal Productivity in the Age of AI,MIT Sloan Executive Education,美國,https://executive.mit.edu/course/personal-productivity-in-the-age-of-ai/a056g00000URaZTAA1.html,兩日實體課,Executives professionals,主管身分升級加AI生產力,個人 AI 工作台,B級39分,2026-06-21,2026-06-21,"官方頁列2026-11-19至20；未承諾完成整合工作台或Agent"
INT-005,Google Prompting Essentials Specialization,Google Career Certificates與Coursera,國際,https://www.coursera.org/specializations/prompting-essentials-google,自學課程,跨產業初學者,簡單框架加日常任務加提示資產,個人 AI 工作台,B級40分,2026-06-21,2026-06-21,"頁面時數約4至10小時不一致；可借prompt library，但不是完整工作流程"
TW-010,n8n-數位轉型AI工作坊,台灣人工智慧協會,台灣,https://www.aiatw.org/product/n8n-%E6%95%B8%E4%BD%8D%E8%BD%89%E5%9E%8Bai%E5%B7%A5%E4%BD%9C%E5%9D%8A/,實體工作坊,企業AI轉型推動者與主管,轉型路徑加需求分析加n8n實作,企業／主管戰情室,A級43分,2026-08-16,2026-08-16,"課程候選；可借轉型路徑、需求分析、n8n與知識庫順序；不可照搬工具節點教學"
TW-011,AI Agent 工作流程自動化實作班（n8n）,國立中央大學ERP暨大數據分析中心,台灣,https://erp.mgt.ncu.edu.tw/n8n-course/,實體工作坊,非工程背景行政與跨工具流程使用者,資料流動到AI Agent專案,個人 AI 工作台,B級40分,2026-08-16,2026-08-16,"持續觀察；招生與梯次訊號佳，需確認學員專案驗收強度"
TW-012,Make AI+n8n AI自動化實作,中國生產力中心,台灣,https://store.cpc.org.tw/train/contents/TD1670,實體課程,行政營運行銷PM與轉型推動者,十六個場景化工作流成品,個人 AI 工作台,A級44分,2026-08-16,2026-08-16,"課程候選；可借多場景模板庫概念；Mandy版本應聚焦一條可驗收流程"
TW-013,AI Agent 的辦公室自動化運用,中國生產力中心,台灣,https://store.cpc.org.tw/train/contents/TD6939,實體課程,白領工作者主管與企業培訓學員,辦公室AI Agent加部門流程標準化,個人 AI 工作台,B級41分,2026-08-16,2026-08-16,"顧問洞察；工具題材更新風險高，應轉為工具中立Agent工作流設計"
TW-014,從「生成式AI」到「AI代理」的風險治理與資安挑戰,會計研究發展基金會,台灣,https://mall.ardf.org.tw/class/indexing.asp?f=3&id=26NIA154200,實體課程,董監事稽核責任主管與高階主管,AI Agent風險治理加主管提問清單,企業／主管戰情室,A級42分,2026-08-16,2026-08-16,"顧問洞察；可借影子AI、提示注入、可監督可追溯可問責檢核"
INT-006,Agentic AI: Business Implications and Applications,MIT Sloan Executive Education,美國,https://executive.mit.edu/course/agentic-ai/a05U100000D0sLtIAJ.html,高階主管課程,高階主管與AI數位轉型負責人,Agent從工具到隊友加playbook與ROI,企業／主管戰情室,A級47分,2026-08-16,2026-08-16,"課程候選；可借機會盤點、ROI、rogue agent simulation與board-ready playbook；短課需縮成可驗收版本"
INT-007,AI Risk and Readiness: From Governance to Growth,MIT Sloan Executive Education,美國,https://executive.mit.edu/course/ai-risk-and-readiness/a04U1000004AAlNIAW.html,高階主管課程,AI策略風險法遵治理與董事,治理加readiness playbook,企業／主管戰情室,A級45分,2026-08-16,2026-08-16,"顧問洞察；可借風險分類、責任地圖、readiness canvas與輸出驗證清單"
INT-008,AI for Boards,INSEAD,國際,https://www.insead.edu/executive-education/corporate-governance/ai-boards/dates-fees,董事課程,董事公司治理與高階監督者,董事會AI readiness加oversight questions,企業／主管戰情室,A級42分,2026-08-16,2026-08-16,"顧問洞察；族群太高階，不作主課定位，只抽主管審AI專案提問框架"
INT-009,Agentic AI: Strategy Applications and Organizational Impact,UC Berkeley Executive Education,美國,https://executive.berkeley.edu/programs/agentic-ai-strategy-applications-and-organizational-impact,線上主管課程,資深主管產品營運分析風險主管與顧問,五週策略課加capstone agentic AI strategy,企業／主管戰情室,A級44分,2026-08-16,2026-08-16,"課程候選；可借機會評估、治理、績效、ROI與組織準備度作為陪跑延伸"
INT-010,Agentic AI and AI Agents for Leaders Specialization,Vanderbilt University與Coursera,國際,https://www.coursera.org/specializations/ai-agents-for-leaders,自學課程,初階主管專業工作者與非技術領導者,大眾化leaders agent literacy,個人 AI 工作台,B級39分,2026-08-16,2026-08-16,"對外內容；招生訊號強但成品深度較淺，不作高價主管班標竿"
TW-015,商業服務業 AI 部署與應用系統導入工作坊,經濟部商業發展署／工研院,台灣,https://serv.gcis.nat.gov.tw/AOCAI/results/workshop-taipei-2026,成果案例,服務業企業主管與負責人,四階段導入到AI導入規劃報告,企業／主管戰情室,A級43分,2026-08-23,2026-08-23,"課程候選；可借需求評估、資源盤點、數據平台、KPI與ROI順序；Mandy短課需縮成一頁導入成效卡"
TW-016,業務部門（LOB）數據分析：從流程盤點到 AI 決策,服務業 AI 人才培育專區,台灣,https://serv.gcis.nat.gov.tw/AOCAI/,混成課程,服務業在職人士與中階管理者,流程盤點到AI決策,企業／主管戰情室,B級40分,2026-08-23,2026-08-23,"持續觀察；首頁列2026-08-24、30小時，訊號支持從流程盤點進到決策，不宜直接照搬長課"
TW-017,AI搜尋趨勢設計/SEO+AI=GEO實務規劃,臺中市勞工大學／國立臺中科技大學,台灣,https://laborlearn.taichung.gov.tw/course_detail.php?sn=1909,實體課程,行銷品牌內容設計者,SEO轉GEO加品牌AI搜尋優化企劃,個人 AI 工作台,B級41分,2026-08-23,2026-08-23,"對外內容；可借AI可引用性、FAQ/表格/流程圖與任務導向搜尋，暫不納入兩門主課核心承諾"
TW-018,AI 導入治理與領導力工作坊,ClearForge,台灣,https://clearforge.com.tw/courses/ai-governance/,小班工作坊,Tech Lead與Engineering Manager,AI Review治理架構加Phase 1導入計畫,企業／主管戰情室,A級43分,2026-08-23,2026-08-23,"顧問洞察；強在決策審查、觀察指標與向上交代；受眾偏技術團隊，不作Mandy主課定位"
TW-019,AI 導入 ROI 怎麼衡量：量測方法、指標與追蹤表一次學會,AgentAI 智庫,台灣,https://agentai.tw/guides/ai-roi-measurement/,文章指南,中小企業老闆主管與導入負責人,基準線指標ROI公式與追蹤表,企業／主管戰情室,B級38分,2026-08-23,2026-08-23,"顧問洞察；可借基準線、1到3個指標、每月追蹤表；非課程案例，不能單獨作課程包裝標竿"
INT-011,Enterprise AI for Leaders,University of Chicago Professional Education,美國,https://professional.uchicago.edu/find-your-fit/courses/enterprise-ai-strategy,線上主管課程,企業AI策略與落地負責人,從實驗到可衡量可治理可擴大的AI計畫,企業／主管戰情室,A級46分,2026-08-23,2026-08-23,"課程候選；可借workflow decomposition、accountable AI measuring success、capstone roadmap；短課只取可驗收一頁版"
INT-012,Moving AI from Task Efficiency to Bottom-Line Impact,American Marketing Association,美國,https://www.ama.org/event-agenda/virtual-training/moving-ai-from-task-efficiency-to-bottom-line-impact/,線上訓練,行銷主管成長主管與營運主管,從效率指標轉成CFO語言與30天證明計畫,企業／主管戰情室,A級42分,2026-08-23,2026-08-23,"顧問洞察；可借Goodhart提醒、品質提升/範圍擴張/能力解鎖與30天proof plan"
INT-013,GEO Corporate Training - AI Search Optimization,Arfadia,國際,https://www.arfadia.com/services/generative-engine-optimization-course,企業內訓,企業行銷品牌內容團隊,GEO可見性診斷到90天roadmap,個人 AI 工作台,A級44分,2026-08-23,2026-08-23,"對外內容；可借AI搜尋可見性作為內容題材，不建議改成GEO專門課"
INT-014,SEO/GEO...E,I,E,I,O: Showing Up in an AI Search,PIASD,美國,https://piasd.org/webinars/seo-geo-eieio-showing-up-in-an-ai-search/,三段式線上課,印刷業與中小企業行銷團隊,AI搜尋中的信任與被推薦,個人 AI 工作台,B級38分,2026-08-23,2026-08-23,"持續觀察；垂直產業包裝清楚，但距Mandy主客群較遠，只保留AI搜尋採購旅程訊號"
INT-015,Perplexity Enterprise Resource Hub / Computer for Enterprise,Perplexity,國際,https://www.perplexity.ai/enterprise/resources,官方資源與培訓,企業知識工作者與團隊,企業研究助手到多步驟工作代理,個人 AI 工作台,B級39分,2026-08-23,2026-08-23,"持續觀察；官方資源顯示研究、競品分析、文件產出與郵件交付串接，但不是獨立課程案例"
TW-020,AI 行政自動化高效工作流實戰班：Gemini×Make×n8n,中華工商研究院,台灣,https://www.cicr.org.tw/edu/index.php?do=signup&id=1818,實體課程,行政營運與內勤工作者,行政任務批次化加個人自動化總部,個人 AI 工作台,B級40分,2026-09-09,2026-09-09,"課程候選；可借文件歸檔、市場觀測站與表單遙控器，但需縮成一條可驗收流程"
TW-021,n8n自動化基礎班：從流程分析到AI秘書,中國文化大學推廣教育部,台灣,https://www.sce.pccu.edu.tw/courses/2A08B5090?c=0403,實體課程,微型企業主行政行銷專案助理與轉型推動者,從被工作追著跑到第一套自動工作系統,個人 AI 工作台,B級41分,2026-09-09,2026-09-09,"課程候選；6小時與零基礎定位貼近Mandy短課，但工具依賴與自動化承諾需降風險"
TW-022,生成式AI與No-Code自動化：n8n職場應用實務,臺中市勞工大學／國立中興大學,台灣,https://laborlearn.taichung.gov.tw/course_detail.php?sn=1927,實體課程,非工程師行政行銷業務財務同仁,8週職場自動化專案發表,個人 AI 工作台,B級39分,2026-09-09,2026-09-09,"持續觀察；課綱完整但含Code Node與Python，短課不宜承諾同等深度"
TW-023,中小企業AI Agent入門,SMEAI平台,台灣,https://smelearning.sme.gov.tw/smeai/service/class-card,線上課程,中小企業經營者主管與自雇者,半自動工作哲學加五種數位員工原型,企業／主管戰情室,B級41分,2026-09-09,2026-09-09,"顧問洞察；人做判斷AI做準備很貼近Mandy，但需驗證課程時數與實作成品"
TW-024,AI 組織效能實戰課,領導影響力學院,台灣,https://leaderimpact.cwgv.com.tw/course/1630,一日實體課,企業領導者與主管,從個人應用升級到企業AI工作系統,企業／主管戰情室,A級45分,2026-09-09,2026-09-09,"課程候選；可借組織雷達、組織記憶與回公司第一步行動計畫；不可照搬講師案例"
INT-016,Implementing Agentic AI: Building Your Organizational Playbook,MIT Sloan Executive Education,美國,https://executive.mit.edu/course/implementing-agentic-ai/a05U100000CvoPOIAZ.html,線上主管課程,技術與非技術企業領導者,現有流程到agent-driven workflow playbook,企業／主管戰情室,A級46分,2026-09-09,2026-09-09,"課程候選；可借3週playbook、流程映射、治理框架與ROI；Mandy短課取一頁試點章程"
INT-017,AI Adoption: Driving Business Value and Impact,MIT Sloan Executive Education,美國,https://executive.mit.edu/course/ai-adoption/a05U100000CQuPRIA1.html,線上主管課程,company-wide AI initiative owners,從AI awareness到transformation與co-creation,企業／主管戰情室,A級45分,2026-09-09,2026-09-09,"顧問洞察；可借buy-in、cross-functional consensus、hybrid teams、metrics of value"
INT-018,AI Projects Workflow Design and Team Coordination,JHU Carey Business School,美國,https://carey.jhu.edu/programs/executive-education/courses/ai/ai-projects-and-design,實體主管課程,經理與團隊領導者,AI專案範圍基準線工作流原型與升級,企業／主管戰情室,A級47分,2026-09-09,2026-09-09,"課程候選；本週最高分，可借use case prioritization、baseline、handoffs、testing、escalation"
INT-019,AI Strategy for Business Leaders: From Hype to Impact,Harvard DCE,美國,https://professional.dce.harvard.edu/programs/ai-strategy-for-business-leaders/,主管課程,非技術商業領導者,從hype到impact的投資優先與ROI風險管理,企業／主管戰情室,B級41分,2026-09-09,2026-09-09,"持續觀察；定位清楚但公開頁成品較少，保留策略語言與非技術主管定位"
INT-020,AI Strategy for Business Leaders,Foster School of Business,美國,https://foster.uw.edu/executive-edu/topic-focused-courses/ai-strategy-for-business-leaders/,實體主管課程,C-suite senior leaders與next-gen leaders,use case brief加pilot charter與guardrails,企業／主管戰情室,A級46分,2026-09-09,2026-09-09,"課程候選；可借AI use case brief、redesigned workflow、pilot charter、wait/build/buy決策"
TW-025,AI Agent 流程設計工作坊：健檢、導入與效益分析,Aiworks／104課程中心,台灣,https://nabi.104.com.tw/course/aiworks/7ec78d98-c16a-46c6-b3cf-df9a583551d7,實體工作坊,PM營運企劃管理者與部門主管,流程健檢加導入效益分析,企業／主管戰情室,A級42分,2026-09-16,2026-09-16,"課程候選；3小時聚焦健檢導入與效益，可借Agent可行性評估卡"
TW-026,2026 AI 人才培育課程總覽,外貿協會／台灣經貿網,台灣,https://elearning.taiwantrade.com/physical_course_overview,系列實體課程,貿易業經營者主管與行銷轉型團隊,AI代理人巡迴課加組織轉型案例,企業／主管戰情室,A級44分,2026-09-16,2026-09-16,"顧問洞察；可借從0到80支AI代理與組織重構語言，不作單一課程照搬"
